City Name,Short Report,1-3 Days,4-7 Days,7-10 Days,Next Week
Mumbai,"Mumbai Weather Forecast. Providing a local hourly Mumbai weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Mumbai weather today. Live weather reports from Mumbai weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Mumbai weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Mumbai is  5 m  above sea level and located at 18.93° N 72.85° E. Mumbai has a population of 12691836. Local time in Mumbai is  IST.Read More","Heavy rain (total 117mm), heaviest during Wed night. Warm (max 30°C on Wed afternoon, min 27°C on Fri night). Mainly fresh winds.","Heavy rain (total 128mm), heaviest during Mon afternoon. Warm (max 28°C on Sun afternoon, min 28°C on Sat afternoon). Mainly fresh winds.","Heavy rain (total 114mm), heaviest during Fri morning. Warm (max 29°C on Wed afternoon, min 27°C on Thu night). Mainly strong winds.","Heavy rain (total 226mm), heaviest during Sun night. Warm (max 28°C on Sat afternoon, min 26°C on Mon morning). Mainly fresh winds."
Delhi,"Delhi Weather Forecast. Providing a local hourly Delhi weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Delhi weather today. Live weather reports from Delhi weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Delhi weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Delhi is  210 m  above sea level and located at 28.67° N 77.23° E. Delhi has a population of 10927986. Local time in Delhi is  IST.Read More","Moderate rain (total 15mm), heaviest on Thu afternoon. Warm (max 38°C on Wed afternoon, min 31°C on Fri night). Wind will be generally light.","Heavy rain (total 53mm), heaviest during Sun night. Warm (max 37°C on Sat afternoon, min 27°C on Mon night). Wind will be generally light.","Heavy rain (total 32mm), heaviest during Tue afternoon. Warm (max 33°C on Fri morning, min 27°C on Wed night). Wind will be generally light.","Heavy rain (total 21mm), heaviest during Sun night. Warm (max 35°C on Mon afternoon, min 28°C on Sat morning). Wind will be generally light."
Bengaluru,"Bengaluru Weather Forecast. Providing a local hourly Bengaluru weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Bengaluru weather today. Live weather reports from Bengaluru weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Bengaluru weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Bengaluru is  909 m  above sea level and located at 12.97° N 77.58° E. Bengaluru has a population of 5104047. Local time in Bengaluru is  IST.Read More","Light rain (total 2.1mm), mostly falling on Wed afternoon. Warm (max 26°C on Wed afternoon, min 20°C on Thu night). Mainly fresh winds.","Mostly dry. Warm (max 29°C on Sat afternoon, min 21°C on Mon night). Mainly fresh winds.","Light rain (total 2.4mm), mostly falling on Thu night. Warm (max 28°C on Wed afternoon, min 21°C on Thu night). Mainly fresh winds.","Light rain (total 4.5mm), mostly falling on Fri night. Warm (max 25°C on Fri afternoon, min 20°C on Sun night). Mainly fresh winds."
Kolkata,"Kolkata Weather Forecast. Providing a local hourly Kolkata weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Kolkata weather today. Live weather reports from Kolkata weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Kolkata weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Kolkata is  11 m  above sea level and located at 22.50° N 88.33° E. Kolkata has a population of 4631392. Local time in Kolkata is  IST.Read More","Light rain (total 8mm), mostly falling on Thu afternoon. Warm (max 35°C on Wed afternoon, min 29°C on Thu night). Wind will be generally light.","Heavy rain (total 38mm), heaviest during Mon afternoon. Warm (max 34°C on Sat afternoon, min 26°C on Mon night). Wind will be generally light.","Heavy rain (total 24mm), heaviest during Tue afternoon. Warm (max 32°C on Fri morning, min 26°C on Tue night). Wind will be generally light.","Heavy rain (total 23mm), heaviest during Sat night. Warm (max 32°C on Mon afternoon, min 27°C on Sat night). Wind will be generally light."
Chennai,"Chennai Weather Forecast. Providing a local hourly Chennai weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Chennai weather today. Live weather reports from Chennai weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Chennai weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Chennai is  12 m  above sea level and located at 13.08° N 80.28° E. Chennai has a population of 4328063. Local time in Chennai is  IST.Read More","Some drizzle, heaviest during Wed afternoon. Warm (max 35°C on Fri afternoon, min 29°C on Thu night). Mainly fresh winds.","Light rain (total 3.9mm), mostly falling on Sun night. Warm (max 34°C on Tue morning, min 29°C on Sat night). Winds decreasing (fresh winds from the S on Sun night, calm by Mon afternoon).","Light rain (total 5mm), mostly falling on Thu night. Warm (max 36°C on Tue afternoon, min 28°C on Thu night). Wind will be generally light.","Light rain (total 9mm), mostly falling on Sat afternoon. Warm (max 34°C on Fri afternoon, min 25°C on Fri night). Winds increasing (calm on Fri afternoon, fresh winds from the WSW by Sun afternoon)."
Ahmedabad,"Ahmedabad Weather Forecast. Providing a local hourly Ahmedabad weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Ahmedabad weather today. Live weather reports from Ahmedabad weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Ahmedabad weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Ahmedabad is  71 m  above sea level and located at 23.07° N 72.63° E. Ahmedabad has a population of 3719710. Local time in Ahmedabad is  IST.Read More","Moderate rain (total 19mm), heaviest on Thu night. Warm (max 36°C on Wed afternoon, min 28°C on Fri night). Wind will be generally light.","Heavy rain (total 23mm), heaviest during Sun night. Warm (max 34°C on Sat afternoon, min 28°C on Mon night). Wind will be generally light.","Light rain (total 3.4mm), mostly falling on Tue afternoon. Warm (max 33°C on Wed afternoon, min 28°C on Tue night). Wind will be generally light.","Heavy rain (total 45mm), heaviest during Fri night. Warm (max 33°C on Sun afternoon, min 27°C on Mon morning). Wind will be generally light."
Hyderabad,"Hyderabad Weather Forecast. Providing a local hourly Hyderabad weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Hyderabad weather today. Live weather reports from Hyderabad weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Hyderabad weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Hyderabad is  497 m  above sea level and located at 17.37° N 78.43° E. Hyderabad has a population of 3597816. Local time in Hyderabad is  IST.Read More","Heavy rain (total 29mm), heaviest during Thu morning. Warm (max 29°C on Wed afternoon, min 24°C on Thu night). Mainly fresh winds.","Light rain (total 3.2mm), mostly falling on Sun night. Warm (max 30°C on Sat afternoon, min 24°C on Mon night). Winds increasing (light winds from the WSW on Sat night, fresh winds from the W by Tue morning).","Some drizzle, heaviest during Wed afternoon. Warm (max 30°C on Tue afternoon, min 25°C on Tue night). Mainly fresh winds.","Moderate rain (total 14mm), heaviest on Fri night. Warm (max 28°C on Fri afternoon, min 23°C on Sat night). Mainly fresh winds."
Pune,"Pune (Mahārāshtra) Weather Forecast. Providing a local hourly Pune (Mahārāshtra) weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Pune (Mahārāshtra) weather today. Live weather reports from Pune (Mahārāshtra) weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Pune (Mahārāshtra) weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Pune (Mahārāshtra) is  593 m  above sea level and located at 18.52° N 73.86° E. Pune (Mahārāshtra) has a population of 2935744. Local time in Pune (Mahārāshtra) is  IST.Read More","Heavy rain (total 59mm), heaviest during Thu night. Warm (max 27°C on Wed afternoon, min 23°C on Thu night). Wind will be generally light.","Moderate rain (total 13mm), heaviest on Mon afternoon. Warm (max 26°C on Sat afternoon, min 23°C on Sun night). Wind will be generally light.","Light rain (total 9mm), mostly falling on Wed morning. Warm (max 24°C on Thu morning, min 23°C on Thu night). Mainly fresh winds.","Heavy rain (total 60mm), heaviest during Mon morning. Warm (max 24°C on Fri afternoon, min 23°C on Sun night). Wind will be generally light."
Kanpur,"Kanpur Weather Forecast. Providing a local hourly Kanpur weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Kanpur weather today. Live weather reports from Kanpur weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Kanpur weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Kanpur is  123 m  above sea level and located at 26.45° N 80.23° E. Kanpur has a population of 2823249. Local time in Kanpur is  IST.Read More","Moderate rain (total 17mm), heaviest on Thu morning. Warm (max 39°C on Fri afternoon, min 29°C on Sat morning). Wind will be generally light.","Heavy rain (total 50mm), heaviest during Mon afternoon. Warm (max 33°C on Sat afternoon, min 27°C on Mon night). Wind will be generally light.","Heavy rain (total 30mm), heaviest during Tue afternoon. Warm (max 34°C on Thu afternoon, min 27°C on Wed morning). Wind will be generally light.","Heavy rain (total 44mm), heaviest during Fri night. Warm (max 35°C on Sat afternoon, min 28°C on Fri night). Wind will be generally light."
Jaipur,"Jaipur Weather Forecast. Providing a local hourly Jaipur weather forecast of rain, sun, wind, humidity and temperature. The Long-range 12 day forecast also includes detail for Jaipur weather today. Live weather reports from Jaipur weather stations and weather warnings that include risk of thunder, high UV index and forecast gales. See the links below the 12-day Jaipur weather forecast table for other cities and towns nearby along with weather conditions for local outdoor activities.Jaipur is  438 m  above sea level and located at 26.88° N 75.83° E. Jaipur has a population of 2711758. Local time in Jaipur is  IST.Read More","Heavy rain (total 40mm), heaviest during Fri night. Warm (max 36°C on Wed afternoon, min 28°C on Thu night). Wind will be generally light.","Heavy rain (total 61mm), heaviest during Sat night. Warm (max 34°C on Sun afternoon, min 27°C on Sat afternoon). Winds decreasing (fresh winds from the S on Sat afternoon, light winds from the WNW by Mon afternoon).","Heavy rain (total 48mm), heaviest during Thu afternoon. Warm (max 31°C on Wed afternoon, min 27°C on Thu night). Wind will be generally light.","Moderate rain (total 19mm), heaviest on Fri night. Warm (max 33°C on Mon afternoon, min 27°C on Fri night). Wind will be generally light."
